"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 03 02:29:13 UTC 2023","Tue Oct 03 02:29:20 UTC 2023","7018","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Oct 03 03:15:43 UTC 2023","Tue Oct 03 03:16:09 UTC 2023","26168","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Oct 03 02:46:45 UTC 2023","Tue Oct 03 02:46:48 UTC 2023","3248","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 03 03:38:09 UTC 2023","Tue Oct 03 03:38:12 UTC 2023","2807","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Oct 03 03:57:29 UTC 2023","Tue Oct 03 03:57:33 UTC 2023","4490","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Oct 03 02:42:09 UTC 2023","Tue Oct 03 02:43:02 UTC 2023","52740","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Oct 03 02:49:41 UTC 2023","Tue Oct 03 02:49:50 UTC 2023","8767","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Oct 03 03:22:02 UTC 2023","Tue Oct 03 03:22:04 UTC 2023","1686","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Oct 03 02:24:36 UTC 2023","Tue Oct 03 02:25:26 UTC 2023","50158","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Oct 03 02:39:15 UTC 2023","Tue Oct 03 02:39:33 UTC 2023","18511","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 03 02:33:56 UTC 2023","Tue Oct 03 02:34:04 UTC 2023","7955","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Oct 03 03:15:32 UTC 2023","Tue Oct 03 03:15:43 UTC 2023","11014","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Oct 03 03:38:02 UTC 2023","Tue Oct 03 03:38:05 UTC 2023","3078","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Oct 03 03:16:12 UTC 2023","Tue Oct 03 03:16:24 UTC 2023","11426","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Tue Oct 03 02:20:43 UTC 2023","Tue Oct 03 02:20:43 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Oct 03 02:41:01 UTC 2023","Tue Oct 03 02:41:05 UTC 2023","3476","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 03 02:33:37 UTC 2023","Tue Oct 03 02:33:56 UTC 2023","19241","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 03 03:37:42 UTC 2023","Tue Oct 03 03:37:55 UTC 2023","13104","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Oct 03 02:46:48 UTC 2023","Tue Oct 03 02:47:11 UTC 2023","22419","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Oct 03 03:57:25 UTC 2023","Tue Oct 03 03:57:29 UTC 2023","3914","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Oct 03 02:23:23 UTC 2023","Tue Oct 03 02:23:25 UTC 2023","2212","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Oct 03 02:28:48 UTC 2023","Tue Oct 03 02:28:50 UTC 2023","2591","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 03 03:21:56 UTC 2023","Tue Oct 03 03:21:57 UTC 2023","1263","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Oct 03 02:41:05 UTC 2023","Tue Oct 03 02:41:58 UTC 2023","53474","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Oct 03 03:15:15 UTC 2023","Tue Oct 03 03:15:31 UTC 2023","16915","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Oct 03 02:29:20 UTC 2023","Tue Oct 03 02:29:27 UTC 2023","6803","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Oct 03 03:38:12 UTC 2023","Tue Oct 03 03:38:16 UTC 2023","4476","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Oct 03 02:21:56 UTC 2023","Tue Oct 03 02:22:21 UTC 2023","25198","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Tue Oct 03 03:59:22 UTC 2023","Tue Oct 03 03:59:31 UTC 2023","9033","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Oct 03 02:21:30 UTC 2023","Tue Oct 03 02:21:56 UTC 2023","25395","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Oct 03 02:36:09 UTC 2023","Tue Oct 03 02:36:12 UTC 2023","2660","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Oct 03 02:41:58 UTC 2023","Tue Oct 03 02:42:01 UTC 2023","2021","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Oct 03 03:16:24 UTC 2023","Tue Oct 03 03:16:25 UTC 2023","697","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Oct 03 02:20:43 UTC 2023","Tue Oct 03 02:20:53 UTC 2023","10072","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Oct 03 03:49:28 UTC 2023","Tue Oct 03 03:49:33 UTC 2023","4323","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Oct 03 02:24:29 UTC 2023","Tue Oct 03 02:24:36 UTC 2023","6757","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Oct 03 02:46:05 UTC 2023","Tue Oct 03 02:46:08 UTC 2023","3367","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 03 02:20:00 UTC 2023","Tue Oct 03 02:20:33 UTC 2023","32757","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 03 02:49:50 UTC 2023","Tue Oct 03 02:49:53 UTC 2023","2894","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Oct 03 03:51:57 UTC 2023","Tue Oct 03 03:52:07 UTC 2023","9713","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Oct 03 02:28:51 UTC 2023","Tue Oct 03 02:29:13 UTC 2023","22017","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 03 02:50:06 UTC 2023","Tue Oct 03 02:50:10 UTC 2023","4251","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 03 04:08:50 UTC 2023","Tue Oct 03 04:09:17 UTC 2023","27029","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Oct 03 02:46:22 UTC 2023","Tue Oct 03 02:46:27 UTC 2023","4767","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 03 03:38:42 UTC 2023","Tue Oct 03 03:38:44 UTC 2023","2402","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Oct 03 02:22:21 UTC 2023","Tue Oct 03 02:22:51 UTC 2023","29690","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Oct 03 03:38:16 UTC 2023","Tue Oct 03 03:38:31 UTC 2023","14937","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Oct 03 02:34:04 UTC 2023","Tue Oct 03 02:34:07 UTC 2023","3107","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Oct 03 02:45:34 UTC 2023","Tue Oct 03 02:45:54 UTC 2023","19946","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 03 03:38:05 UTC 2023","Tue Oct 03 03:38:09 UTC 2023","3661","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Oct 03 02:31:10 UTC 2023","Tue Oct 03 02:31:10 UTC 2023","181","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Oct 03 02:31:05 UTC 2023","Tue Oct 03 02:31:10 UTC 2023","5387","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Oct 03 02:50:40 UTC 2023","Tue Oct 03 02:50:42 UTC 2023","2355","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Oct 03 02:28:41 UTC 2023","Tue Oct 03 02:28:48 UTC 2023","7157","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Oct 03 02:49:22 UTC 2023","Tue Oct 03 02:49:41 UTC 2023","19561","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Oct 03 02:31:20 UTC 2023","Tue Oct 03 02:31:21 UTC 2023","767","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Oct 03 02:49:53 UTC 2023","Tue Oct 03 02:50:06 UTC 2023","12640","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Oct 03 04:00:12 UTC 2023","Tue Oct 03 04:01:08 UTC 2023","55804","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Oct 03 02:45:54 UTC 2023","Tue Oct 03 02:46:05 UTC 2023","10412","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Oct 03 03:21:36 UTC 2023","Tue Oct 03 03:21:56 UTC 2023","19743","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Tue Oct 03 03:29:55 UTC 2023","Tue Oct 03 03:30:33 UTC 2023","38379","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Oct 03 03:49:16 UTC 2023","Tue Oct 03 03:49:26 UTC 2023","9894","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Oct 03 02:39:33 UTC 2023","Tue Oct 03 02:39:42 UTC 2023","8405","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Oct 03 03:41:16 UTC 2023","Tue Oct 03 03:45:48 UTC 2023","271918","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Oct 03 03:29:35 UTC 2023","Tue Oct 03 03:29:50 UTC 2023","15557","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Oct 03 02:38:45 UTC 2023","Tue Oct 03 02:39:05 UTC 2023","19851","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 03 03:51:32 UTC 2023","Tue Oct 03 03:51:50 UTC 2023","18368","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Oct 03 04:08:41 UTC 2023","Tue Oct 03 04:08:50 UTC 2023","8539","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Oct 03 03:56:54 UTC 2023","Tue Oct 03 03:56:58 UTC 2023","3417","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Oct 03 02:24:08 UTC 2023","Tue Oct 03 02:24:29 UTC 2023","21141","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Tue Oct 03 03:19:21 UTC 2023","Tue Oct 03 03:19:22 UTC 2023","1181","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Oct 03 03:51:56 UTC 2023","Tue Oct 03 03:51:57 UTC 2023","431","","20. Admin Portal - Check details","","","","3. Check panels existence",""
